2020-05-24 17:08:43,381 p=18427 u=root n=ansible | ERROR! The vault password file /root/automate/docker/praveen.pem was not found
2020-05-24 17:22:46,758 p=19452 u=root n=ansible | PLAY [dev] ******************************************************************************************************************************************
2020-05-24 17:22:46,781 p=19452 u=root n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************
2020-05-24 17:22:50,438 p=19452 u=root n=ansible | ok: [node03]
2020-05-24 17:22:50,620 p=19452 u=root n=ansible | ok: [node02]
2020-05-24 17:22:50,634 p=19452 u=root n=ansible | ok: [node01]
2020-05-24 17:22:50,671 p=19452 u=root n=ansible | TASK [loading file] *********************************************************************************************************************************
2020-05-24 17:22:51,940 p=19452 u=root n=ansible | changed: [node02]
2020-05-24 17:22:52,104 p=19452 u=root n=ansible | changed: [node03]
2020-05-24 17:22:52,111 p=19452 u=root n=ansible | changed: [node01]
2020-05-24 17:22:52,143 p=19452 u=root n=ansible | TASK [Adding files] *********************************************************************************************************************************
2020-05-24 17:22:53,554 p=19452 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:22:53,555 p=19452 u=root n=ansible | fatal: [node02]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330172.400504-58806363165273/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330172.400504-58806363165273/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330172.400504-58806363165273/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_aEWTDx/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 17, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:22:53,678 p=19452 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:22:53,679 p=19452 u=root n=ansible | fatal: [node03]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330172.4662354-145932312678032/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330172.4662354-145932312678032/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330172.4662354-145932312678032/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_y2dbFi/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 17, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:22:53,692 p=19452 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:22:53,692 p=19452 u=root n=ansible | fatal: [node01]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330172.3049011-157722396153804/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330172.3049011-157722396153804/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330172.3049011-157722396153804/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_rxYd26/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 17, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:22:53,693 p=19452 u=root n=ansible | PLAY RECAP ******************************************************************************************************************************************
2020-05-24 17:22:53,694 p=19452 u=root n=ansible | node01                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 17:22:53,694 p=19452 u=root n=ansible | node02                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 17:22:53,694 p=19452 u=root n=ansible | node03                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 17:24:45,337 p=19810 u=root n=ansible |  [ERROR]: User interrupted execution

2020-05-24 17:24:52,922 p=19818 u=root n=ansible | PLAY [dev] ******************************************************************************************************************************************
2020-05-24 17:24:52,942 p=19818 u=root n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************
2020-05-24 17:24:56,085 p=19818 u=root n=ansible | ok: [node02]
2020-05-24 17:24:56,262 p=19818 u=root n=ansible | ok: [node01]
2020-05-24 17:24:56,319 p=19818 u=root n=ansible | ok: [node03]
