2020-05-24 17:08:43,381 p=18427 u=root n=ansible | ERROR! The vault password file /root/automate/docker/praveen.pem was not found
2020-05-24 17:29:30,234 p=20540 u=root n=ansible | fatal: [node03]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330569.1466572-137150943617396/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330569.1466572-137150943617396/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330569.1466572-137150943617396/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_13aMTO/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:29:30,299 p=20540 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:29:30,300 p=20540 u=root n=ansible | fatal: [node01]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330569.015605-128975917211624/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330569.015605-128975917211624/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330569.015605-128975917211624/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_ceeTTS/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:29:30,319 p=20540 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:29:30,319 p=20540 u=root n=ansible | fatal: [node02]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330569.080898-64023126574339/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330569.080898-64023126574339/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590330569.080898-64023126574339/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_HO9wZ7/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:29:30,321 p=20540 u=root n=ansible | PLAY RECAP ******************************************************************************************************************************************
2020-05-24 17:29:30,321 p=20540 u=root n=ansible | node01                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 17:29:30,321 p=20540 u=root n=ansible | node02                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 17:29:30,321 p=20540 u=root n=ansible | node03                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 17:39:59,560 p=21217 u=root n=ansible | PLAY [dev] ******************************************************************************************************************************************
2020-05-24 17:39:59,581 p=21217 u=root n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************
2020-05-24 17:40:02,737 p=21217 u=root n=ansible | ok: [node02]
2020-05-24 17:40:02,987 p=21217 u=root n=ansible | ok: [node03]
2020-05-24 17:40:03,046 p=21217 u=root n=ansible | ok: [node01]
2020-05-24 17:40:03,080 p=21217 u=root n=ansible | TASK [loading file] *********************************************************************************************************************************
2020-05-24 17:40:04,368 p=21217 u=root n=ansible | changed: [node02]
2020-05-24 17:40:04,518 p=21217 u=root n=ansible | changed: [node01]
2020-05-24 17:40:04,523 p=21217 u=root n=ansible | changed: [node03]
2020-05-24 17:40:04,559 p=21217 u=root n=ansible | TASK [Adding files] *********************************************************************************************************************************
2020-05-24 17:40:05,782 p=21217 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:40:05,783 p=21217 u=root n=ansible | fatal: [node02]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331204.6705692-216047431893052/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331204.6705692-216047431893052/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331204.6705692-216047431893052/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_2RfCiE/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:40:05,907 p=21217 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:40:05,908 p=21217 u=root n=ansible | fatal: [node03]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331204.733203-60497156942030/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331204.733203-60497156942030/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331204.733203-60497156942030/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_yPu_Og/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:40:05,929 p=21217 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:40:05,929 p=21217 u=root n=ansible | fatal: [node01]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331204.5916126-231884722296637/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331204.5916126-231884722296637/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331204.5916126-231884722296637/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_tL58vi/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:40:05,931 p=21217 u=root n=ansible | PLAY RECAP ******************************************************************************************************************************************
2020-05-24 17:40:05,931 p=21217 u=root n=ansible | node01                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 17:40:05,931 p=21217 u=root n=ansible | node02                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 17:40:05,932 p=21217 u=root n=ansible | node03                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 17:42:27,101 p=21503 u=root n=ansible | PLAY [dev] ******************************************************************************************************************************************
2020-05-24 17:42:27,121 p=21503 u=root n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************
2020-05-24 17:42:30,699 p=21503 u=root n=ansible | ok: [node01]
2020-05-24 17:42:30,913 p=21503 u=root n=ansible | ok: [node03]
2020-05-24 17:42:30,962 p=21503 u=root n=ansible | ok: [node02]
2020-05-24 17:42:30,997 p=21503 u=root n=ansible | TASK [loading file] *********************************************************************************************************************************
2020-05-24 17:42:32,449 p=21503 u=root n=ansible | changed: [node02]
2020-05-24 17:42:32,464 p=21503 u=root n=ansible | changed: [node03]
2020-05-24 17:42:32,497 p=21503 u=root n=ansible | changed: [node01]
2020-05-24 17:42:32,528 p=21503 u=root n=ansible | TASK [Adding files] *********************************************************************************************************************************
2020-05-24 17:42:33,953 p=21503 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:42:33,953 p=21503 u=root n=ansible | fatal: [node01]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331352.5643692-40907414375443/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331352.5643692-40907414375443/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331352.5643692-40907414375443/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_4emM8f/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:42:34,017 p=21503 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:42:34,018 p=21503 u=root n=ansible | fatal: [node03]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331352.727794-8540579054550/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331352.727794-8540579054550/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331352.727794-8540579054550/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_8XrKRh/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:42:34,049 p=21503 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 17:42:34,049 p=21503 u=root n=ansible | fatal: [node02]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331352.6387045-12926391414778/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331352.6387045-12926391414778/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590331352.6387045-12926391414778/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_hX7UTJ/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 17:42:34,051 p=21503 u=root n=ansible | PLAY RECAP ******************************************************************************************************************************************
2020-05-24 17:42:34,051 p=21503 u=root n=ansible | node01                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 17:42:34,051 p=21503 u=root n=ansible | node02                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 17:42:34,051 p=21503 u=root n=ansible | node03                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 18:17:05,487 p=23347 u=root n=ansible | PLAY [dev] ******************************************************************************************************************************************
2020-05-24 18:17:05,510 p=23347 u=root n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************
2020-05-24 18:17:08,806 p=23347 u=root n=ansible | ok: [node01]
2020-05-24 18:17:08,892 p=23347 u=root n=ansible | ok: [node02]
2020-05-24 18:17:08,929 p=23347 u=root n=ansible | ok: [node03]
2020-05-24 18:17:08,964 p=23347 u=root n=ansible | TASK [loading file] *********************************************************************************************************************************
2020-05-24 18:17:10,252 p=23347 u=root n=ansible | changed: [node01]
2020-05-24 18:17:10,401 p=23347 u=root n=ansible | changed: [node02]
2020-05-24 18:17:10,408 p=23347 u=root n=ansible | changed: [node03]
2020-05-24 18:17:10,440 p=23347 u=root n=ansible | TASK [Adding files] *********************************************************************************************************************************
2020-05-24 18:17:11,627 p=23347 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 18:17:11,628 p=23347 u=root n=ansible | fatal: [node01]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590333430.475729-249055373588891/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590333430.475729-249055373588891/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590333430.475729-249055373588891/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_bRHnwm/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 18:17:11,748 p=23347 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 18:17:11,748 p=23347 u=root n=ansible | fatal: [node02]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590333430.5384562-180644394261427/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590333430.5384562-180644394261427/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590333430.5384562-180644394261427/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_hTVYNS/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 18:17:11,764 p=23347 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
2020-05-24 18:17:11,764 p=23347 u=root n=ansible | fatal: [node03]: FAILED! => {"changed": false, "module_stderr": "Shared connection to 192.168.56.2 closed.\r\n", "module_stdout": "Traceback (most recent call last):\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590333430.5982544-169242932465281/AnsiballZ_wordmatch.py\", line 102, in <module>\r\n    _ansiballz_main()\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590333430.5982544-169242932465281/AnsiballZ_wordmatch.py\", line 94, in _ansiballz_main\r\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\r\n  File \"/home/vagrant/.ansible/tmp/ansible-tmp-1590333430.5982544-169242932465281/AnsiballZ_wordmatch.py\", line 40, in invoke_module\r\n    runpy.run_module(mod_name='ansible.modules.wordmatch', init_globals=None, run_name='__main__', alter_sys=True)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 176, in run_module\r\n    fname, loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 82, in _run_module_code\r\n    mod_name, mod_fname, mod_loader, pkg_name)\r\n  File \"/usr/lib64/python2.7/runpy.py\", line 72, in _run_code\r\n    exec code in run_globals\r\n  File \"/tmp/ansible_wordmatch_payload_yOV7Gj/ansible_wordmatch_payload.zip/ansible/modules/wordmatch.py\", line 20, in <module>\r\nNameError: name 'op' is not defined\r\n", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2020-05-24 18:17:11,766 p=23347 u=root n=ansible | PLAY RECAP ******************************************************************************************************************************************
2020-05-24 18:17:11,766 p=23347 u=root n=ansible | node01                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 18:17:11,766 p=23347 u=root n=ansible | node02                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 18:17:11,766 p=23347 u=root n=ansible | node03                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 18:17:29,657 p=23541 u=root n=ansible | PLAY [dev] ******************************************************************************************************************************************
2020-05-24 18:17:29,677 p=23541 u=root n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************
2020-05-24 18:17:32,424 p=23541 u=root n=ansible | ok: [node02]
2020-05-24 18:17:32,584 p=23541 u=root n=ansible | ok: [node01]
2020-05-24 18:17:32,593 p=23541 u=root n=ansible | ok: [node03]
2020-05-24 18:17:32,631 p=23541 u=root n=ansible | TASK [loading file] *********************************************************************************************************************************
2020-05-24 18:17:33,881 p=23541 u=root n=ansible | changed: [node02]
2020-05-24 18:17:34,039 p=23541 u=root n=ansible | changed: [node01]
2020-05-24 18:17:34,044 p=23541 u=root n=ansible | changed: [node03]
2020-05-24 18:17:34,076 p=23541 u=root n=ansible | TASK [Adding files] *********************************************************************************************************************************
2020-05-24 18:17:35,283 p=23541 u=root n=ansible | fatal: [node02]: FAILED! => {"changed": false, "msg": "missing required arguments: op"}
2020-05-24 18:17:35,430 p=23541 u=root n=ansible | fatal: [node01]: FAILED! => {"changed": false, "msg": "missing required arguments: op"}
2020-05-24 18:17:35,434 p=23541 u=root n=ansible | fatal: [node03]: FAILED! => {"changed": false, "msg": "missing required arguments: op"}
2020-05-24 18:17:35,436 p=23541 u=root n=ansible | PLAY RECAP ******************************************************************************************************************************************
2020-05-24 18:17:35,436 p=23541 u=root n=ansible | node01                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 18:17:35,437 p=23541 u=root n=ansible | node02                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 18:17:35,437 p=23541 u=root n=ansible | node03                     : ok=2    changed=1    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2020-05-24 18:17:54,679 p=23726 u=root n=ansible | PLAY [dev] ******************************************************************************************************************************************
2020-05-24 18:17:54,699 p=23726 u=root n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************
2020-05-24 18:17:57,258 p=23726 u=root n=ansible | ok: [node03]
2020-05-24 18:17:57,644 p=23726 u=root n=ansible | ok: [node01]
2020-05-24 18:17:57,656 p=23726 u=root n=ansible | ok: [node02]
2020-05-24 18:17:57,689 p=23726 u=root n=ansible | TASK [loading file] *********************************************************************************************************************************
2020-05-24 18:17:58,906 p=23726 u=root n=ansible | changed: [node02]
2020-05-24 18:17:59,068 p=23726 u=root n=ansible | changed: [node01]
2020-05-24 18:17:59,075 p=23726 u=root n=ansible | changed: [node03]
2020-05-24 18:17:59,106 p=23726 u=root n=ansible | TASK [Adding files] *********************************************************************************************************************************
2020-05-24 18:18:00,291 p=23726 u=root n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: NameError: name 'op' is not defined
